age,gender,year,loc,deaths,nb_c,orphans
45-49,Male,2004,63,82.0715,1.1793384760042271,97
50-54,Male,2004,63,91.4015,0.7310469915110445,67
50-66,Female,2004,63,266.3955,0.12182569989591154,32
55-59,Male,2004,63,100.946,0.40868937521521875,41
60-76,Male,2004,63,550.2085,0.09823830036437496,54
10-14,Female,2004,66,15.6755,0.009686857337240139,0
10-14,Male,2004,66,24.006,3.1385635414438965e-4,0
15-19,Female,2004,66,29.0965,0.27669326110120535,8
15-19,Male,2004,66,97.35900000000001,0.06935986953483171,7
20-24,Female,2004,66,36.518,0.8630600062285407,32
20-24,Male,2004,66,179.136,0.42794385277299335,77
25-29,Female,2004,66,32.989,1.4913883938814345,49
25-29,Male,2004,66,156.6585,1.0034524054288787,157
30-34,Female,2004,66,34.782,1.929156599708707,67
30-34,Male,2004,66,135.693,1.5751391220071929,214
35-39,Female,2004,66,48.079,1.8100552822966827,87
35-39,Male,2004,66,137.1455,1.8815272315920055,258
40-44,Female,2004,66,67.599,1.2746841131355724,86
40-44,Male,2004,66,137.6465,1.6691713532158967,230
45-49,Female,2004,66,92.1025,0.7220660155992599,67
45-49,Male,2004,66,151.68449999999999,1.2051838768141452,183
50-54,Male,2004,66,163.74349999999998,0.7478865754157549,122
50-66,Female,2004,66,504.2295,0.12471508518557786,63
55-59,Male,2004,66,183.3555,0.4181511300425284,77
60-76,Male,2004,66,928.158,0.10062471265019346,93
10-14,Female,2004,68,29.927,0.0099898437660315,0
10-14,Male,2004,68,45.0755,3.3094186337702863e-4,0
15-19,Female,2004,68,57.6715,0.2847595927312457,16
15-19,Male,2004,68,184.8445,0.07176783909138992,13
20-24,Female,2004,68,70.717,0.878437538447541,62
20-24,Male,2004,68,326.5175,0.4390570771431984,143
25-29,Female,2004,68,66.129,1.502508759390557,99
25-29,Male,2004,68,294.5585,1.0200407089301868,300
30-34,Female,2004,68,68.673,1.9339542739795321,133
30-34,Male,2004,68,257.9085,1.5884822091421968,410
35-39,Female,2004,68,87.5065,1.8114899458563483,159
35-39,Male,2004,68,250.424,1.889723142648337,473
40-44,Female,2004,68,115.4215,1.2739962224635033,147
40-44,Male,2004,68,237.6545,1.6733190619615814,398
45-49,Female,2004,68,144.4935,0.7203441121058441,104
45-49,Male,2004,68,239.869,1.2067608865053836,289
50-54,Male,2004,68,259.1165,0.7484338510808466,194
50-66,Female,2004,68,824.201,0.12416879094150442,102
55-59,Male,2004,68,291.705,0.4185467703662022,122
60-76,Male,2004,68,1676.253,0.10051123258665447,168
10-14,Female,2004,70,13.5475,0.01180009116386456,0
10-14,Male,2004,70,20.1005,3.889963240296205e-4,0
15-19,Female,2004,70,25.252,0.33651202650340917,8
15-19,Male,2004,70,80.6575,0.08499667253322345,7
20-24,Female,2004,70,28.686,1.0030578985468401,29
20-24,Male,2004,70,133.101,0.5125990587617015,68
25-29,Female,2004,70,25.849500000000003,1.6275623951739686,42
25-29,Male,2004,70,117.723,1.1458464942811777,135
30-34,Female,2004,70,26.4145,2.0109541301639764,53
30-34,Male,2004,70,104.703,1.7012359459692543,178
35-39,Female,2004,70,31.6925,1.8475951584488932,59
35-39,Male,2004,70,99.5025,1.9611299058950207,195
40-44,Female,2004,70,40.342999999999996,1.2798995980785048,52
40-44,Male,2004,70,93.009,1.7068878716865694,159
45-49,Female,2004,70,50.1815,0.7120505895321458,36
45-49,Male,2004,70,91.04599999999999,1.2177465122832527,111
50-54,Male,2004,70,103.3855,0.7505037610652344,78
50-66,Female,2004,70,293.80649999999997,0.12146740979852927,36
55-59,Male,2004,70,116.048,0.41836532126365544,49
60-76,Male,2004,70,657.2095,0.09895656416860593,65
10-14,Female,2004,73,21.297,0.010691468445158388,0
10-14,Male,2004,73,31.2095,3.519950881272051e-4,0
15-19,Female,2004,73,39.5085,0.3039163290211104,12
15-19,Male,2004,73,127.253,0.07648265523291926,10
20-24,Female,2004,73,45.069,0.9326932095455774,42
20-24,Male,2004,73,216.9985,0.46726321438314256,101
25-29,Female,2004,73,41.39,1.5775516231571207,65
25-29,Male,2004,73,191.234,1.0781643374400034,206
30-34,Female,2004,73,43.721000000000004,2.0111987849321054,88
30-34,Male,2004,73,167.7045,1.6605983187815294,278
35-39,Female,2004,73,56.856,1.8751131323730494,107
35-39,Male,2004,73,166.735,1.9608019231561504,327
40-44,Female,2004,73,78.2985,1.313756596487308,103
40-44,Male,2004,73,166.1435,1.7279747113034858,287
45-49,Female,2004,73,100.91499999999999,0.7399297396394038,75
45-49,Male,2004,73,177.817,1.2428399490169975,221
50-54,Male,2004,73,198.326,0.7697522865065451,153
50-66,Female,2004,73,598.135,0.12720195414201274,76
55-59,Male,2004,73,228.7805,0.429952668364146,98
60-76,Male,2004,73,1395.32,0.10276241521429101,143
10-14,Female,2004,76,72.924,0.009286096329262864,1
10-14,Male,2004,76,113.491,3.061744361806683e-4,0
15-19,Female,2004,76,136.9785,0.2667332214579396,37
15-19,Male,2004,76,456.4205,0.06676371152978416,30
20-24,Female,2004,76,173.4015,0.8321669208695527,144
20-24,Male,2004,76,810.6315,0.4124723890863784,334
25-29,Female,2004,76,166.721,1.4402972899864475,240
25-29,Male,2004,76,741.405,0.9678336340761383,718
30-34,Female,2004,76,176.595,1.8657280938095602,329
30-34,Male,2004,76,655.983,1.5212890147532605,998
35-39,Female,2004,76,230.853,1.7536492059625428,405
35-39,Male,2004,76,649.2385,1.8197630908091607,1181
40-44,Female,2004,76,314.7925,1.2364324034491985,389
40-44,Male,2004,76,627.2555,1.6157587961994235,1013
45-49,Female,2004,76,408.19849999999997,0.7007302373111175,286
45-49,Male,2004,76,643.108,1.1667296923964878,750
50-54,Male,2004,76,681.205,0.723723424533592,493
50-66,Female,2004,76,2216.2295,0.12085412560346787,268
55-59,Male,2004,76,758.9780000000001,0.404464929560645,307
60-76,Male,2004,76,4108.711,0.09735929988726034,400
10-14,Female,2004,81,5.337,0.01216810963017606,0
10-14,Male,2004,81,8.229000000000001,3.972294845183603e-4,0
15-19,Female,2004,81,9.55,0.34858300966776273,3
15-19,Male,2004,81,31.7475,0.08697714208023771,3
20-24,Female,2004,81,10.318999999999999,1.073089268097501,11
20-24,Male,2004,81,52.9995,0.5376504629379284,28
25-29,Female,2004,81,9.463,1.8059790669168658,17
25-29,Male,2004,81,45.7285,1.2466893095895752,57
30-34,Female,2004,81,9.368,2.2917883873397984,21
30-34,Male,2004,81,38.408500000000004,1.9158455594263344,74
35-39,Female,2004,81,10.9785,2.1344239917102827,23
35-39,Male,2004,81,33.9175,2.2567017712227706,77
40-44,Female,2004,81,13.126999999999999,1.4951721358019054,20
40-44,Male,2004,81,30.8485,1.9845813061816833,61
45-49,Female,2004,81,14.570500000000001,0.8408566453571168,12
45-49,Male,2004,81,30.87,1.4239329458277457,44
