Municipality,2015,2016,2017,2018,2019,2020,2021
25001 Agua De Dios,16,15,13,15,14,19,23
25019 Albán,8,7,7,8,8,9,12
25035 Anapoima,19,18,18,18,18,23,29
25040 Anolaima,19,19,19,19,19,22,28
25053 Arbeláez,12,12,12,11,12,15,20
25086 Beltrán,0,0,0,0,0,0,3
25095 Bituima,1,1,1,1,1,1,5
25099 Bojacá,10,10,11,12,12,16,20
25120 Cabrera,5,5,5,5,5,8,11
25123 Cachipay,13,12,13,12,12,17,21
25126 Cajicá,80,81,83,87,93,108,154
25148 Caparrapí,22,20,18,20,19,26,31
25151 Cáqueza,29,24,23,25,24,30,39
25154 Carmen De Carupa,10,10,9,10,10,16,18
25168 Chaguaní,7,7,7,7,7,9,10
25175 Chía,153,155,161,163,173,200,283
25178 Chipaque,11,11,11,13,13,18,20
25181 Choachí,15,14,14,14,14,18,23
25183 Chocontá,38,37,38,41,38,48,61
25200 Cogua,25,25,25,25,26,33,43
25214 Cota,33,33,34,34,37,45,59
25224 Cucunubá,8,9,8,9,9,14,17
25245 El Colegio,29,30,29,29,28,37,50
25258 El Peñón,6,6,6,7,6,9,9
25260 El Rosal,23,23,23,25,27,32,42
25269 Facatativá,183,186,187,190,200,231,324
25279 Fómeque,17,17,17,18,17,19,25
25281 Fosca,7,8,7,8,8,13,17
25286 Funza,98,99,102,105,112,130,185
25288 Fúquene,4,4,4,4,4,6,7
25290 Fusagasugá,178,181,175,176,182,212,291
25293 Gachalá,7,7,7,7,7,8,9
25295 Gachancipá,21,21,22,22,22,24,32
25297 Gachetá,18,14,13,14,13,20,22
25299 Gama,1,1,1,1,1,6,7
25307 Girardot,204,207,196,192,199,226,295
25312 Granada,7,9,7,8,8,11,15
25317 Guachetá,19,19,19,23,19,23,30
25320 Guaduas,48,47,47,47,47,61,77
25322 Guasca,18,18,18,19,19,23,31
25324 Guataquí,0,1,0,1,0,3,6
25326 Guatavita,8,11,8,8,8,11,15
25328 Guayabal De Síquima,5,5,5,5,5,6,8
25335 Guayabetal,6,6,6,6,6,8,13
25339 Gutiérrez,3,3,2,3,3,7,7
25368 Jerusalén,1,0,0,0,0,2,5
25372 Junín,8,8,8,9,8,14,17
25377 La Calera,35,34,35,36,37,44,60
25386 La Mesa,47,47,46,48,48,61,76
25394 La Palma,14,13,12,13,11,19,24
25398 La Peña,9,9,8,9,9,14,16
25402 La Vega,21,19,21,22,22,27,35
25407 Lenguazaque,14,14,13,21,14,18,23
25426 Machetá,8,7,8,7,8,12,16
25430 Madrid,117,117,120,124,132,151,209
25436 Manta,4,4,4,5,4,6,7
25438 Medina,10,10,10,13,13,17,20
25473 Mosquera,129,131,136,142,154,169,238
25483 Nariño,0,0,0,0,0,3,5
25486 Nemocón,19,19,19,19,19,22,31
25488 Nilo,9,10,10,10,12,15,20
25489 Nimaima,4,4,3,4,3,6,7
25491 Nocaima,7,7,7,7,7,8,13
25506 Venecia,6,6,5,6,6,7,7
25513 Pacho,40,39,43,39,38,49,61
25518 Paime,7,7,5,7,6,8,9
25524 Pandi,5,7,6,7,7,8,9
25530 Paratebueno,12,19,15,12,12,16,21
25535 Pasca,10,12,11,12,11,18,21
25572 Puerto Salgar,22,22,21,24,23,28,37
25580 Pulí,3,3,2,3,4,6,7
25592 Quebradanegra,7,7,5,7,6,8,9
25594 Quetame,7,8,6,7,7,8,11
25596 Quipile,9,9,9,9,9,11,18
25599 Apulo,8,9,9,9,9,13,18
25612 Ricaurte,13,14,14,14,15,19,24
25645 San Antonio Del Tequendama,12,12,12,12,12,20,22
25649 San Bernardo,10,9,9,10,9,18,20
25653 San Cayetano,7,7,5,6,6,7,10
25658 San Francisco,10,11,11,11,11,17,19
25662 San Juan De Rioseco,13,13,10,12,11,20,20
25718 Sasaima,15,15,14,15,16,20,24
25736 Sesquilé,16,15,17,15,16,18,24
25740 Sibaté,42,41,49,64,63,62,80
25743 Silvania,28,27,28,29,30,38,48
25745 Simijaca,17,16,16,17,17,20,27
25754 Soacha,662,671,693,729,781,921,1236
25758 Sopó,32,32,33,32,35,39,56
25769 Subachoque,19,18,18,18,19,20,28
25772 Suesca,20,20,20,20,21,26,35
25777 Supatá,7,6,6,7,7,7,8
25779 Susa,8,8,7,8,7,11,16
25781 Sutatausa,4,7,7,5,7,10,13
25785 Tabio,25,25,25,25,27,33,43
25793 Tausa,8,8,8,8,9,13,17
25797 Tena,9,9,11,11,11,12,18
25799 Tenjo,29,28,28,29,29,33,45
25805 Tibacuy,5,4,4,5,5,6,8
25807 Tibirita,5,3,3,5,4,6,8
25815 Tocaima,26,22,21,20,19,27,32
25817 Tocancipá,45,46,47,49,50,55,81
25823 Topaipí,6,6,6,6,6,9,9
25839 Ubalá,11,9,10,10,10,17,18
25841 Ubaque,9,8,9,9,8,11,18
25843 Villa De San Diego De Ubaté,68,65,67,66,71,86,111
25845 Une,8,8,8,8,8,13,16
25851 Útica,7,5,5,5,5,7,8
25862 Vergara,10,10,10,10,10,18,19
25867 Vianí,5,5,5,5,5,6,8
25871 Villagómez,0,0,0,0,0,1,2
25873 Villapinzón,23,23,22,24,24,33,37
25875 Villeta,44,37,42,39,40,46,61
25878 Viotá,20,19,19,20,19,25,30
25885 Yacopí,23,23,20,23,22,32,34
25898 Zipacón,4,4,4,3,6,5,7
25899 Zipaquirá,164,162,163,163,173,201,275
27001 Quibdó,215,214,189,197,231,281,368
27006 Acandí,20,21,20,22,21,29,33
27025 Alto Baudó,43,41,42,51,49,73,75
27050 Atrato,8,7,7,9,9,13,15
27073 Bagadó,17,19,18,20,19,25,24
27075 Bahía Solano,14,13,12,14,13,19,22
27077 Bajo Baudó,43,43,43,54,49,73,76
27099 Bojayá,18,18,18,20,19,25,30
27135 El Cantón Del San Pablo,7,6,6,8,7,14,15
27150 Carmen Del Darién,23,25,27,35,35,51,56
27160 Cértegui,6,6,7,9,9,12,13
27205 Condoto,19,18,18,20,18,24,29
27245 El Carmen De Atrato,12,12,12,15,12,18,19
27250 El Litoral Del San Juan,31,31,31,41,36,57,59
27361 Istmina,47,45,42,52,47,60,65
27372 Juradó,7,6,7,11,9,16,19
27413 Lloró,15,15,14,18,15,21,24
27425 Medio Atrato,16,19,20,22,22,31,33
27430 Medio Baudó,22,23,22,28,25,37,40
