age,gender,year,loc,deaths,nb_c,orphans
45-49,Female,2004,52,78,0.47249655141007707,37
45-49,Male,2004,52,94,0.7199616530045772,68
50-54,Male,2004,52,108,0.4379149511650592,47
50-66,Female,2004,52,421,0.09593144664058649,40
55-59,Male,2004,52,129,0.2381711831661283,31
60-76,Male,2004,52,736,0.05938280740523767,44
10-14,Female,2004,54,17,0.005960058430553002,0
10-14,Male,2004,54,26,1.9481261784085987e-4,0
15-19,Female,2004,54,42,0.2315562630016857,10
15-19,Male,2004,54,125,0.05043547563421899,6
20-24,Female,2004,54,45,0.7659144019477662,34
20-24,Male,2004,54,232,0.3468535572613819,80
25-29,Female,2004,54,41,1.3280742793189009,54
25-29,Male,2004,54,231,0.8511523168004471,197
30-34,Female,2004,54,64,1.700931022757561,109
30-34,Male,2004,54,184,1.3502278233834941,248
35-39,Female,2004,54,62,1.5969959138710275,99
35-39,Male,2004,54,171,1.6392054539260157,280
40-44,Female,2004,54,78,1.13398899603758,88
40-44,Male,2004,54,159,1.4886689093873657,237
45-49,Female,2004,54,76,0.6400662146926615,49
45-49,Male,2004,54,150,1.094433779165921,164
50-54,Male,2004,54,167,0.6990627261800121,117
50-66,Female,2004,54,418,0.11819272475398707,49
55-59,Male,2004,54,171,0.4008205682802195,69
60-76,Male,2004,54,938,0.09798391884391146,92
10-14,Female,2004,63,7,0.012850838998181862,0
10-14,Male,2004,63,8,2.9744970259643695e-4,0
15-19,Female,2004,63,15,0.3144461442865177,5
15-19,Male,2004,63,48,0.07613866354273739,4
20-24,Female,2004,63,12,0.9265459897427675,11
20-24,Male,2004,63,87,0.43575887144717174,38
25-29,Female,2004,63,15,1.4785255063619311,22
25-29,Male,2004,63,78,0.977006212662253,76
30-34,Female,2004,63,18,1.7803403316553543,32
30-34,Male,2004,63,62,1.4529828439666321,90
35-39,Female,2004,63,30,1.5338999747542512,46
35-39,Male,2004,63,71,1.6379598015051304,116
40-44,Female,2004,63,32,1.0173213600577053,33
40-44,Male,2004,63,82,1.3951388702842424,114
45-49,Female,2004,63,48,0.5423788655708454,26
45-49,Male,2004,63,68,0.9772341730221967,66
50-54,Male,2004,63,85,0.6138936998542184,52
